,confirm_count,death_count,death_rate
1/22/20,1.0,0.0,0.0
1/23/20,1.0,0.0,0.0
1/24/20,2.0,0.0,0.0
1/25/20,2.0,0.0,0.0
1/26/20,3.0,0.0,0.0
1/27/20,4.0,0.0,0.0
1/28/20,4.0,0.0,0.0
1/29/20,4.0,0.0,0.0
1/30/20,4.0,0.0,0.0
1/31/20,11.0,0.0,0.0
2/1/20,12.0,0.0,0.0
2/2/20,15.0,0.0,0.0
2/3/20,15.0,0.0,0.0
2/4/20,16.0,0.0,0.0
2/5/20,19.0,0.0,0.0
2/6/20,23.0,0.0,0.0
2/7/20,24.0,0.0,0.0
2/8/20,24.0,0.0,0.0
2/9/20,25.0,0.0,0.0
2/10/20,27.0,0.0,0.0
2/11/20,28.0,0.0,0.0
2/12/20,28.0,0.0,0.0
2/13/20,28.0,0.0,0.0
2/14/20,28.0,0.0,0.0
2/15/20,28.0,0.0,0.0
2/16/20,29.0,0.0,0.0
2/17/20,30.0,0.0,0.0
2/18/20,31.0,0.0,0.0
2/19/20,31.0,0.0,0.0
2/20/20,104.0,1.0,1.9428793471925394e-08
2/21/20,204.0,2.0,3.885758694385079e-08
2/22/20,433.0,2.0,3.885758694385079e-08
2/23/20,602.0,6.0,1.1657276083155236e-07
2/24/20,833.0,8.0,1.5543034777540315e-07
2/25/20,977.0,10.0,1.9428793471925392e-07
2/26/20,1261.0,12.0,2.3314552166310472e-07
2/27/20,1766.0,13.0,2.525743151350301e-07
2/28/20,2337.0,13.0,2.525743151350301e-07
2/29/20,3150.0,16.0,3.108606955508063e-07
3/1/20,3736.0,17.0,3.302894890227317e-07
3/2/20,4335.0,28.0,5.44006217213911e-07
3/3/20,5186.0,28.0,5.44006217213911e-07
3/4/20,5621.0,35.0,6.800077715173888e-07
3/5/20,6088.0,35.0,6.800077715173888e-07
3/6/20,6593.0,42.0,8.160093258208666e-07
3/7/20,7041.0,44.0,8.548669127647173e-07
3/8/20,7314.0,50.0,9.714396735962696e-07
3/9/20,7478.0,53.0,1.0297260540120458e-06
3/10/20,7513.0,54.0,1.0491548474839712e-06
3/11/20,7755.0,60.0,1.1657276083155237e-06
3/12/20,7869.0,66.0,1.282300369147076e-06
3/13/20,7979.0,66.0,1.282300369147076e-06
3/14/20,8086.0,72.0,1.3988731299786283e-06
3/15/20,8162.0,75.0,1.4571595103944045e-06
3/16/20,8236.0,75.0,1.4571595103944045e-06
3/17/20,8320.0,81.0,1.5737322712259568e-06
3/18/20,8413.0,84.0,1.6320186516417331e-06
3/19/20,8565.0,91.0,1.7680202059452108e-06
3/20/20,8652.0,94.0,1.826306586360987e-06
3/21/20,8799.0,102.0,1.98173693413639e-06
3/22/20,8961.0,111.0,2.1565960753837187e-06
3/23/20,8961.0,111.0,2.1565960753837187e-06
3/24/20,9037.0,120.0,2.3314552166310474e-06
3/25/20,9137.0,126.0,2.4480279774625997e-06
3/26/20,9241.0,131.0,2.5451719448222264e-06
3/27/20,9332.0,139.0,2.70060229259763e-06
3/28/20,9478.0,144.0,2.7977462599572566e-06
3/29/20,9583.0,152.0,2.9531766077326597e-06
3/30/20,9661.0,158.0,3.069749368564212e-06
3/31/20,9786.0,162.0,3.1474645424519135e-06
4/1/20,9887.0,165.0,3.20575092286769e-06
4/2/20,9976.0,169.0,3.2834660967553914e-06
4/3/20,10062.0,174.0,3.3806100641150186e-06
4/4/20,10156.0,177.0,3.4388964445307945e-06
4/5/20,10237.0,183.0,3.555469205362347e-06
4/6/20,10284.0,186.0,3.613755585778123e-06
4/7/20,10331.0,192.0,3.7303283466096755e-06
4/8/20,10384.0,200.0,3.8857586943850786e-06
4/9/20,10423.0,204.0,3.96347386827278e-06
4/10/20,10450.0,208.0,4.041189042160482e-06
4/11/20,10480.0,211.0,4.099475422576258e-06
4/12/20,10512.0,214.0,4.157761802992034e-06
4/13/20,10537.0,217.0,4.216048183407811e-06
